ID2	Xt	Yt	Zonas_multispat_kd_t	Zonas_multispati_koc_t	Patron	patterns2
15195	401851.302	6517407.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
18164	456851.302	6572407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6361	516851.302	6324907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
20	356851.302	6127407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
1043	364351.302	6169907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
13886	419351.302	6492407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4230	374351.302	6272407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
6279	589351.302	6322407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
3761	344351.302	6259907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
11114	319351.302	6434907.963	S	S	No significativa	NA
2817	371851.302	6232407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
15512	241851.302	6524907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
16498	484351.302	6542407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
7215	531851.302	6344907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
8191	394351.302	6367407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6705	324351.302	6334907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
2518	481851.302	6222407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
3874	406851.302	6262407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
15576	426851.302	6524907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14547	421851.302	6504907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
7271	379351.302	6347407.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
2941	466851.302	6234907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11420	294351.302	6442407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
21324	394351.302	6649907.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
1689	336851.302	6197407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18295	434351.302	6574907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
1987	329351.302	6207407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
13122	434351.302	6477407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
13192	284351.302	6479907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
9878	549351.302	6404907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
20915	424351.302	6637407.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
15849	531851.302	6529907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15098	476851.302	6514907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
10227	339351.302	6414907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9794	326851.302	6404907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
3812	484351.302	6259907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14374	316851.302	6502407.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
9220	481851.302	6389907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
8567	486851.302	6374907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
7893	506851.302	6359907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14482	251851.302	6504907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
18102	276851.302	6572407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
9773	554351.302	6402407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
230	434351.302	6134907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
8662	436851.302	6377407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14258	359351.302	6499907.963	S	S	No significativa	NA
11357	419351.302	6439907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
17892	461851.302	6567407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
3532	431851.302	6252407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
21166	441851.302	6644907.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
5371	351851.302	6302407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
20949	311851.302	6639907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
1855	381851.302	6202407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
15321	409351.302	6519907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
8054	329351.302	6364907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
2466	331851.302	6222407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18356	586851.302	6574907.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
15869	586851.302	6529907.963	E	E	No significativa	NA
13692	249351.302	6489907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
16929	519351.302	6549907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
16366	501851.302	6539907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
16228	489351.302	6537407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
10400	526851.302	6417407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4655	536851.302	6282407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
1819	489351.302	6199907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11761	326851.302	6449907.963	NO	NO	No significativa	NA
19009	279351.302	6589907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
13117	421851.302	6477407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4016	554351.302	6264907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15917	356851.302	6532407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
16794	536851.302	6547407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
10724	504351.302	6424907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14165	469351.302	6497407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11667	364351.302	6447407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
5061	339351.302	6294907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9478	334351.302	6397407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
680	356851.302	6154907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
14918	351851.302	6512407.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
7355	594351.302	6347407.963	E	E	No significativa	NA
509	389351.302	6147407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18326	511851.302	6574907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11631	554351.302	6444907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
20612	274351.302	6629907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
3408	324351.302	6249907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
13473	339351.302	6484907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
5204	441851.302	6297407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2845	441851.302	6232407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
6653	471851.302	6332407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2622	314351.302	6227407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
19168	386851.302	6592407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
12858	409351.302	6472407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22815	404351.302	6697407.963	SA	NO	Alto Kd y Alta vida media	"High income - High access gain"
5504	434351.302	6304907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22359	521851.302	6679907.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
12155	474351.302	6457407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
5074	371851.302	6294907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
19532	494351.302	6599907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11758	319351.302	6449907.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
20869	306851.302	6637407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
13906	469351.302	6492407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6780	539351.302	6334907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4936	526851.302	6289907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
23020	416851.302	6704907.963	SA	SA	Alto Kd y Alta vida media	"High income - High access gain"
8441	454351.302	6372407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2531	516851.302	6222407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6294	336851.302	6324907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
10553	359351.302	6422407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18750	579351.302	6582407.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
4342	426851.302	6274907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
7195	481851.302	6344907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14649	344351.302	6507407.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
5623	479351.302	6307407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6781	541851.302	6334907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12214	324351.302	6459907.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
16375	524351.302	6539907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
20015	404351.302	6612407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
46	424351.302	6127407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
17247	251851.302	6557407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
11638	574351.302	6444907.963	SA	SA	No significativa	NA
4797	396851.302	6287407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
1063	414351.302	6169907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
19163	374351.302	6592407.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
3540	456851.302	6252407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
5961	584351.302	6314907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
8045	604351.302	6362407.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
17003	344351.302	6552407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
5199	429351.302	6297407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
20660	396851.302	6629907.963	E	S	Bajo Kd y Alta vida media	"Low income - High access gain"
22891	424351.302	6699907.963	SA	SA	Alto Kd y Alta vida media	"High income - High access gain"
15436	354351.302	6522407.963	S	S	Bajo Kd y Alta vida media	"Low income - High access gain"
12363	411851.302	6462407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15541	314351.302	6524907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
6884	539351.302	6337407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
9958	471851.302	6407407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
1185	414351.302	6174907.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
9820	391851.302	6404907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18517	291851.302	6579907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
4670	321851.302	6284907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
19432	499351.302	6597407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4269	491851.302	6272407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11345	371851.302	6439907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
22757	439351.302	6694907.963	SA	NO	Alto Kd y Alta vida media	"High income - High access gain"
17977	316851.302	6569907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
16417	274351.302	6542407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
22469	426851.302	6684907.963	SA	NO	Alto Kd y Alta vida media	"High income - High access gain"
13901	456851.302	6492407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22967	444351.302	6702407.963	E	NO	Alto Kd y Alta vida media	"High income - High access gain"
18501	246851.302	6579907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
4433	439351.302	6277407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
5511	451851.302	6304907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6060	569351.302	6317407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
3023	456851.302	6237407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15831	486851.302	6529907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
3844	331851.302	6262407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
4128	351851.302	6269907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
13811	564351.302	6489907.963	E	E	No significativa	NA
16568	301851.302	6544907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
9485	351851.302	6397407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
1104	366851.302	6172407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
11328	319351.302	6439907.963	S	S	No significativa	NA
17016	386851.302	6552407.963	E	NO	Alto Kd y baja vida media	"High income - Low access gain"
22795	354351.302	6697407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
10984	571851.302	6429907.963	SA	SA	Alto Kd y baja vida media	"High income - Low access gain"
22796	356851.302	6697407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
14398	381851.302	6502407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
14526	366851.302	6504907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
14471	566851.302	6502407.963	E	E	No significativa	NA
5886	361851.302	6314907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18100	271851.302	6572407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
22171	414351.302	6674907.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
13537	511851.302	6484907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12658	556851.302	6467407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12536	554351.302	6464907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14990	541851.302	6512407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2106	429351.302	6209907.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
4488	336851.302	6279907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
20447	291851.302	6624907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
22403	444351.302	6682407.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
16186	381851.302	6537407.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
6742	429351.302	6334907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
17771	504351.302	6564907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22961	429351.302	6702407.963	SA	SA	Alto Kd y Alta vida media	"High income - High access gain"
6162	559351.302	6319907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
1061	409351.302	6169907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
7468	594351.302	6349907.963	E	E	No significativa	NA
6290	326851.302	6324907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
11291	514351.302	6437407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
1770	349351.302	6199907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
20552	344351.302	6627407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
18234	271851.302	6574907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
7855	401851.302	6359907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11688	416851.302	6447407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12254	426851.302	6459907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22843	476851.302	6697407.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
10877	301851.302	6429907.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
359	311851.302	6142407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9179	379351.302	6389907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
17024	409351.302	6552407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15413	296851.302	6522407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
7250	324351.302	6347407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9433	484351.302	6394907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
5754	581851.302	6309907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
9007	484351.302	6384907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
13836	291851.302	6492407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
880	406851.302	6162407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
8202	421851.302	6367407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12501	461851.302	6464907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
14272	394351.302	6499907.963	E	S	Baja Kd y Baja vida media	"Low income - Low access gain"
6379	566851.302	6324907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
2670	434351.302	6227407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
13638	444351.302	6487407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
19397	404351.302	6597407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
1350	376851.302	6182407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
2305	329351.302	6217407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
22782	501851.302	6694907.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
5001	439351.302	6292407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
3594	374351.302	6254907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
3193	434351.302	6242407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
7256	339351.302	6347407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9796	331851.302	6404907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
9574	589351.302	6397407.963	SA	SA	No significativa	NA
14514	334351.302	6504907.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
13610	364351.302	6487407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
7686	551851.302	6354907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15288	301851.302	6519907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
22120	486851.302	6672407.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
14697	469351.302	6507407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
8900	476851.302	6382407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
7884	479351.302	6359907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
23039	464351.302	6704907.963	E	E	Alto Kd y Alta vida media	"High income - High access gain"
3081	376851.302	6239907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
10159	434351.302	6412407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
21685	396851.302	6659907.963	E	S	Bajo Kd y Alta vida media	"Low income - High access gain"
9804	351851.302	6404907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
18420	401851.302	6577407.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
11341	356851.302	6439907.963	S	NO	Baja Kd y Baja vida media	"Low income - Low access gain"
2593	456851.302	6224907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
7588	599351.302	6352407.963	E	E	No significativa	NA
3459	471851.302	6249907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
22012	411851.302	6669907.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
2831	406851.302	6232407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
1582	361851.302	6192407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
3901	484351.302	6262407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15570	411851.302	6524907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
16243	526851.302	6537407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6671	529351.302	6332407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4000	501851.302	6264907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
18268	364351.302	6574907.963	E	NO	Alto Kd y Alta vida media	"High income - High access gain"
19085	471851.302	6589907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
10025	364351.302	6409907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
7391	386851.302	6349907.963	E	S	Alto Kd y baja vida media	"High income - Low access gain"
21294	319351.302	6649907.963	NO	SA	Bajo Kd y Alta vida media	"Low income - High access gain"
3041	506851.302	6237407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
13055	256851.302	6477407.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
5218	479351.302	6297407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
8565	481851.302	6374907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
10545	339351.302	6422407.963	S	NO	Baja Kd y Baja vida media	"Low income - Low access gain"
4220	349351.302	6272407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
13118	424351.302	6477407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
93	386851.302	6129907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
4409	374351.302	6277407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
16951	574351.302	6549907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11835	521851.302	6449907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
417	311851.302	6144907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
14388	356851.302	6502407.963	S	S	No significativa	NA
8756	386851.302	6379907.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
10061	454351.302	6409907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
15593	469351.302	6524907.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
12932	266851.302	6474907.963	S	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
22093	419351.302	6672407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
5871	324351.302	6314907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
8411	376851.302	6372407.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
19681	339351.302	6604907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
17853	351851.302	6567407.963	NO	NO	Alto Kd y Alta vida media	"High income - High access gain"
22197	481851.302	6674907.963	SA	SA	Alto Kd y Alta vida media	"High income - High access gain"
6483	569351.302	6327407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
19661	289351.302	6604907.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
21157	419351.302	6644907.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
17815	251851.302	6567407.963	NO	NO	Bajo Kd y Alta vida media	"Low income - High access gain"
20911	414351.302	6637407.963	E	S	Alto Kd y Alta vida media	"High income - High access gain"
9324	476851.302	6392407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
11495	489351.302	6442407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
4988	401851.302	6292407.963	S	E	Baja Kd y Baja vida media	"Low income - Low access gain"
12416	546851.302	6462407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
6013	431851.302	6317407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
9886	569351.302	6404907.963	SA	SA	Alto Kd y baja vida media	"High income - Low access gain"
6302	356851.302	6324907.963	S	S	Baja Kd y Baja vida media	"Low income - Low access gain"
13649	471851.302	6487407.963	E	E	Alto Kd y baja vida media	"High income - Low access gain"
